#,ID,Species,Month,TotalLength,WetMass,Temp,Estimated.DM,N.ug.h,N.umol.h,TP.ug.h,TP.umol.h,N.P
101,ETHRAD 25,ETHRAD,March,43,0.78,19.5,0.17862,29.61117942,2.114072509,7.104038342,0.229384513,9.21628267
102,ETHRAD 26,ETHRAD,March,55,1.48,19.5,0.33892,31.0312071,2.21545454,9.108196183,0.29409739,7.533064265
103,LEPMEG 2,LEPMEG,March,61,5,18.9,1.145,143.3034529,10.23106463,30.34290356,0.979751487,10.44250992
104,LEPMEG 3,LEPMEG,March,69,5.6,19,1.2824,143.7149952,10.26044644,39.12863492,1.26343671,8.121060881
105,LEPMEG 5,LEPMEG,March,65,4.2,19.5,0.9618,63.58548377,4.539647724,24.8923697,0.803757497,5.648031577
106,LEPMEG 6,LEPMEG,March,57,3.1,19.5,0.7099,73.51467619,5.248536499,21.30817332,0.688026262,7.628395585
107,LEPMEG 7,LEPMEG,March,67,4.3,19.5,0.9847,110.6485235,7.899685404,64.97655056,2.09804813,3.765254616
108,LEPMEG 8,LEPMEG,March,70,4.2,19.5,0.9618,110.2191914,7.86903349,34.13119644,1.102072859,7.14021167
109,LEPMEG 11,LEPMEG,March,66,3.1,19.7,0.7099,43.17573098,3.082505585,16.56033487,0.534721824,5.764690063
110,LEPMEG 12,LEPMEG,March,66,4.6,19.7,1.0534,62.98833822,4.497014873,16.14725375,0.521383718,8.625154018
111,CAMSPA 1,CAMSPA,March,62,2,21.9,0.458,82.05838208,5.85850929,6.891434138,0.222519669,26.32805143
112,CAMSPA 2,CAMSPA,March,54,1.5,21.9,0.3435,62.60275774,4.469486584,6.592142413,0.212855745,20.99772587
113,CAMSPA 3,CAMSPA,March,49,1,21.9,0.229,69.88687038,4.989531466,8.765400238,0.283028745,17.62906261
114,CAMSPA 5,CAMSPA,March,54,1.6,21.9,0.3664,55.86627185,3.988539188,15.09039883,0.4872586,8.185672224
115,CAMSPA 6,CAMSPA,March,56,1.6,21.9,0.3664,48.54085728,3.465545581,3.817139023,0.123252794,28.1173794
116,CAMSPA 7,CAMSPA,March,60,2.4,21.9,0.5496,64.74213453,4.622226115,4.752051646,0.153440479,30.12390309
117,CAMSPA 8,CAMSPA,March,69,3.1,21.9,0.7099,81.7613068,5.837299778,12.08122406,0.390094415,14.96381272
118,CAMSPA 9,CAMSPA,March,58,2,21.9,0.458,82.02295118,5.855979723,10.00870445,0.323174183,18.12019657
119,CAMSPA 16,CAMSPA,March,65,2.9,21.9,0.6641,159.4307546,11.38246372,33.00811023,1.065809177,10.67964506
120,NOTBOO 1,NOTBOO,March,68,3.1,18.3,0.7099,121.9262696,8.704853365,29.16552794,0.941734838,9.243422897
121,NOTBOO 2,NOTBOO,March,64,2.4,18.3,0.5496,86.86846058,6.201921979,25.36184052,0.818916387,7.573327479
122,NOTBOO 3,NOTBOO,March,44,0.8,18.3,0.1832,25.85517725,1.845914973,8.742556639,0.282291141,6.539046771
123,NOTBOO 5,NOTBOO,March,45,0.6,18.3,0.1374,25.34280868,1.809334724,13.95974463,0.450750554,4.014048812
124,NOTBOO 6,NOTBOO,March,49,0.8,18.4,0.1832,27.65846629,1.97465972,9.386746666,0.303091594,6.515059331
125,NOTBOO 7,NOTBOO,March,52,1,18.4,0.229,25.84147677,1.844936835,12.10127078,0.390741711,4.721627566
126,NOTBOO 8,NOTBOO,March,57,1.8,18.4,0.4122,82.7142482,5.905334461,21.53040661,0.695202021,8.494414978
127,NOTBOO 9,NOTBOO,March,51,1,18.4,0.229,75.38457963,5.382037141,11.34148749,0.366208831,14.69663396
128,NOTBOO 11,NOTBOO,March,43,0.7,18.4,0.1603,23.37109725,1.668565561,7.875967346,0.254309569,6.561159171
